epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34930,1.63981,2.16299,1.07251,0.52323,0.36155,0.37636,0.19384,1.48873,1.211,1.02234,0.000133074,0.000133074,0.000133074
2,45224.7,1.51994,1.24342,1.05009,0.56346,0.38457,0.40407,0.20932,1.45867,1.08978,1.0241,0.000240033,0.000240033,0.000240033
